Name;Source Book;Src Page;Schl;Sub-school;Descriptor;Class Lvls;Adp;APeace;Arc;Artificer;Asn;Beguiler;Blg;Blk;Brd;BVal;ChamGwyn;Clr;Corrupt;Dem;Drd;Duskblade;EmBarachiel;Exalted Arcanist;HB;Hlr;Hoard;Holder;HotD;Hrp;Hth;IOTDF;KotC;MH;Pal;PUG;Rgr;Sanctified;Shu;Slayer of Domiel;Sor/Wiz;Vassal of Bahamut;Wmg;Wuj;Domn Lvls;Air;Animal;Artifice;Balance;Bestial;Blackwater;Cavern;Celerity;Celestial;Chaos;Charm;City;Cold;Commerce;Community;Competition;Corruption;Courage;Craft;Creation;Darkness;Death;Deathbound;Deathless;Decay;Demonic;Destiny;Destruction;Diabolic;Domination;Dragon;Dream;DrgBlw;Drow;Dwarf;Earth;Elf;Endurance;Evil;Exorcism;Family;Fate;Feast;Fey;Fire;Force;Glory;Gnome;Good;Greed;Halfling;Hatred;Healing;Herald;Hunger;Illusion;Inquisition;Joy;Knowledge;Law;Liberation;Life;Luck;Madness;Magic;Meditation;Mental;Metal;Mind;Moon;Mysticism;Necro;Nobility;Ocean;Oracle;Orc;Pact;Pain;Passion;Pestilence;Planning;Plant;Pleasure;Portal;Portal (alt);Protection;Purification;Renewal;Repose;Retribution;Rune;Sand;SaveLife;Scalykind;Seafolk;Shadow;Sin-A;Sin-E;Sin-G;Sin-L;Sin-P;Sin-S;Sin-W;Sky;Slime;Spell;Spider;Storm;Strength;Suffering;Summer;Summoner;Sun;Thirst;Time;Trade;Transformation;Travel;Trickery;Truth;Tyranny;Undeath;VDarkness;War;Warforged;Water;Watery Death;Wealth;Weather;Winter;Wrath;Components;Casting Time;Range;Effect Type;Effect;Duration;Saving Throw;Resistance;Short Description;Medium Description;Long Descripton
Acid Arrow;SRD;253;Conj;;Acid;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M, F;1 standard action;Long (400 ft. + 40 ft./level);Effect;One arrow of acid;1 round + 1 round/3 levels;None;No;"Ranged touch attack; 2d4 damage for 1 round +1 round/three levels.";"Ranged touch attack; 2d4 acid damage for 1 round +1 round/three levels.";A magical arrow of acid springs from your hand and speeds to its target. You must succeed on a ranged touch attack to hit your target. The arrow deals 2d4 points of acid damage with no splash damage. For every three caster levels (to a maximum of 18th), the acid, unless somehow neutralized, lasts for another round, dealing another 2d4 points of damage in that round.
Acid Breath;SPC;7;Conj;Creation;Acid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;15 ft.;Area;Cone-shaped burst;Instantaneous;Reflex half;Yes;Cone of acid deals 1d6 damage/level.;1d6/caster level acid damage in a cone.;
Acid Dart;SKR;;Conj;Creation;Acid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Dart of acid;Instantaneous;None;Yes;Energy bolt deals 1d3 acid damage.;;You fire a small dart made of acid at the target, requiring a successful ranged touch attack. The spell deals 1d3 acid damage and no splash damage.
Acid Fog;SRD;196;Conj;Creation;Acid;;;;6;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;V, S, M/DF;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Fog spreads in 20-ft. radius, 20 ft. high;1 round/level;None;No;Fog deals acid damage.;Fog deals 2d6 acid damage per round.;Acid fog creates a billowing mass of misty vapors similar to that produced by a solid fog spell. In addition to slowing creatures down and obscuring sight, this spell's vapors are highly acidic. Each round on your turn, starting when you cast the spell, the fog deals 2d6 points of acid damage to each creature and object within it.
Acid Glove;SKR;;Conj;Creation;Acid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Touch;Target;Creature touched;Instantaneous;None;Yes;Touch attack deals 1d6 acid damage.;;Your hand is coated with a thin layer of acid, which you can use to damage creatures, requiring a successful melee touch attack. The spell deals 1d6 acid damage.
Acid Rain;HB;124;Conj;Creation;Acid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Long (400 ft. + 40 ft./level);Area;20-ft.-radius cylinder, 40 ft. high;"1 full round and 1 round/level; see text";None;No;20-ft.-radius cylinder deals 7d6 acid damage;;
Acid Sheath;SPC;7;Conj;Creation;Acid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M, F;1 standard action;Personal;Target;You;1 round/level (D);;;Sheath of acid damages those who attack you, improves acid spell damage.;Sheath of acid damages those who attack you (2/caster level, max 30), lets you make touch attacks.;
Acid Splash;SRD;196;Conj;Creation;Acid;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One missile of acid;Instantaneous;None;No;Orb deals 1d3 acid damage.;;You fire a small orb of acid at the target. You must succeed on a ranged touch attack to hit your target. The orb deals 1d3 points of acid damage.
Acid Storm;SPC;7;Evoc;;Acid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Medium (100 ft. + 10 ft./level);Area;Cylinder (20-ft. radius, 20 ft. high);Instantaneous;Reflex half;No;Deals 1d6/level acid damage in 20-ft radius.;Deals 1d6/level acid damage (Max 15d6) in 20-ft radius.;
Acidic Curse;BoEM;15;Evoc;;Acid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature with eyes;Instantaneous;Fortitude negates;Yes;See Text;;
Acorn of Far Travel;FCotW;;Tran;;;;;;2;;;;;;;;;;;;2;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 minute;Touch;Target;One acorn;1 day/level or until expended;None;No;Makes an acorn feel like a forest to the user and a spell.;;
Adamantine Weapon;MoE;93;Tran;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S, M;1 minute;Touch;Target;Weapon touched;1 min./level;Will negates (harmless, object);No (object);Transform weapon into adamantine.;;
Addiction;BV;84;Ench;;;;;;2;;1;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, Drug;1 standard action;Touch;Target;One living creature;Instantaneous;Fortitude negates;Yes;Subject becomes addicted to a drug.;;
Aerial Alacrity;RW;174;Tran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;V;1 swift action;Personal;Target;You;1 min./level (D);;;+30 ft. fly speed, +1 AC and Reflex saves while flying, maneuverability improves by one category.;;
Aerial Alarm;HB;124;Abj;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, F/DF;1 standard action;Medium (100 ft. + 10 ft./level);Area;100-ft.-radius cylinder, 500 ft. high;2 hours/level (D);None;No;Wards and area for 2 hours/level;;
Aerial Summoning Dance;Rac;189;Conj;Summoning;;;;;4;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;3 rounds;Close (25 ft. + 5 ft./2 levels);Effect;One summoned Large air elemental;1 round/level;None;No;You and four aarakocra summon a Large air elemental.;;
Affliction;BE;89;Necr;;Good;;;;3;;;;;;;;;3;;;3;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;V, S;1 standard action;Touch;Target;Evil creature touched;Instantaneous;Fortitude negates;Yes;Infects evil subject with chosen affliction.;;
Aganazzar's Scorcher;FRCS;66;Evoc;;Fire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, F;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;5-ft.-wide path to close range (25 ft. + 5 ft./2 levels);Instantaneous;Reflex half;Yes;Deal 1d8/2 levels (max 5d8) fire damage to a line.;;
Aid;SRD;196;Ench;Compulsion;Mind-Affecting;;2;2;2;;;;;;;;;2;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 standard action;Touch;Target;Living creature touched;1 min./level;None;Yes (harmless);+1 on attack rolls and saves against fear, 1d8 temporary hp +1/level (max +10).;;Aid grants the target a +1 morale bonus on attack rolls and saves against fear effects, plus temporary hit points equal to 1d8 + caster level (to a maximum of 1d8+10 temporary hit points at caster level 10th).
Aid, Mass;SPC;8;Abj;Compulsion;Mind-Affecting;;;;3;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;One or more creatures, no two of which are more than 30 ft. apart;1 min./level;None;Yes (harmless);Allies gain +1 on attack rolls, +1 against fear, 1d8 temporary hp +1/level (max +15).;;
Aiming at the Target;SPC;8;Abj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;1 immediate action;Personal;Target;You;"Concentration, up to 20 minutes; see text";;;Grants a +10 circumstance bonus to Concentration checks for a spell you are concentrating on already.;;
Aiming Line;SKR;;Illu;Figment;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;1 min.;Will disbelief (if interacted with);No;Create an aiming line for +2 bonus to hit with touch attacks, target gains the same benefit vs. you.;;You create a faint illusory line between yourself and one creature within range, which requires a successful ranged touch attack. This line causes no damage and does not illuminate an area. The spell ends if you no longer have line of effect between yourself and the target.[lf][lf]Any ranged touch attacks you make against the target gain a +2 circumstance bonus to hit, and concealment for these attacks is treated as one category less. If the target is an invisible creature, the line pinpoints the square for you (negating the need to choose a square to attack). Because the line is a visible illusion, it has no effect in darkness unless you can otherwise see in darkness (such as with darkvision) or if you cannot see the line because you are blind.[lf][lf]Because the spell also indicates a direct line to you, the target gains the same benefits against you that you do against it. The target may attempt to disbelieve the illusion as normal, but successful disbelief has no effect on the spell's benefits (the translucent outline of the revealed illusion works just as well as the illusion itself).
Air Breathing;SPC;8;Tran;;;;;;3;;;;;;;;;3;;;3;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S, M/DF;1 standard action;Touch;Target;Living Creatures Touched;"2 hours/level; see text";Will negates (harmless);Yes (harmless);Subjects can breathe air freely.;;
Air Walk;SRD;196;Tran;;Air;;;4;4;;;;;;;;;4;;;4;;;;;;;;;;;;;;;;;;4;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, DF;1 standard action;Touch;Target;Creature (Gargantuan or smaller) touched;10 min./level;None;Yes (harmless);Subject treads on air as if solid (climb at 45-degree angle).;;"The subject can tread on air as if walking on solid ground. Moving upward is similar to walking up a hill. The maximum upward or downward angle possible is 45 degrees, at a rate equal to one-half the air walker's normal speed.[lf][lf]A strong wind (21+ mph) can push the subject along or hold it back. At the end of its turn each round, the wind blows the air walker 5 feet for each 5 miles per hour of wind speed. The creature may be subject to additional penalties in exceptionally strong or turbulent winds, such as loss of control over movement or physical damage from being buffeted about.[lf][lf]Should the spell duration expire while the subject is still aloft, the magic fails slowly. The subject floats downward 60 feet per round for 1d6 rounds. If it reaches the ground in that amount of time, it lands safely. If not, it falls the rest of the distance, taking 1d6 points of damage per 10 feet of fall. Since dispelling a spell effectively ends it, the subject also descends in this way if the air walk spell is dispelled, but not if it is negated by an antimagic field.[lf][lf]You can cast air walk on a specially trained mount so it can be ridden through the air. You can train a mount to move with the aid of air walk (counts as a trick; see Handle Animal skill) with one week of work and a DC 25 Handle Animal check."
Airy Water;STO;113;Tran;;Air, Water;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S, M;1 standard action;0 ft.;Area;20-ft.-radius emanation centered on you;10 min./level (D);None;No;"Turn normal water into a breathable substance; negate underwater movement and melee attack penalties.";;
